Date,Year,Quarter,Weather_Index,Wind_Speed,Wind_Direction,Temperature,Class
2017-02-22 00:00:00,2017,Q1,1,1.78816,247.5,48.5,A
2017-02-23 00:00:00,2017,Q1,2,2.2352,45,43,A
2017-03-04 00:00:00,2017,Q1,3,2.68224,135,51.5,A
2017-05-17 00:00:00,2017,Q2,1,0.44704,45,62.5,A
2017-05-18 00:00:00,2017,Q2,2,2.2352,45,69,A
2017-05-25 00:00:00,2017,Q2,3,3.57632,202.5,68,B
2017-06-02 00:00:00,2017,Q2,4,2.68224,270,88,A
2017-06-16 00:00:00,2017,Q2,5,2.2352,151.67,69.5,A
2017-08-14 00:00:00,2017,Q3,1,2.68224,202.5,73,C
2017-08-15 00:00:00,2017,Q3,2,3.57632,225,68.5,B
2017-08-16 00:00:00,2017,Q3,3,1.78816,247.5,73,A
2017-08-23 00:00:00,2017,Q3,4,1.78816,180,70,A
2017-09-15 00:00:00,2017,Q3,5,0.89408,135,79.5,A
2017-10-10 00:00:00,2017,Q4,1,1.34112,90,64,B
2017-10-24 00:00:00,2017,Q4,2,1.34112,72,69,A
2017-10-25 00:00:00,2017,Q4,3,1.34112,72,77,A
2017-10-26 00:00:00,2017,Q4,4,1.34112,72,70,A
2017-11-02 00:00:00,2017,Q4,5,1.34112,180,59,B
2017-11-10 00:00:00,2017,Q4,6,1.34112,90,59,B
2017-11-22 00:00:00,2017,Q4,7,1.78816,72,57.5,A
2018-02-12 00:00:00,2018,Q1,1,1.34112,270,48.5,B
2018-02-13 00:00:00,2018,Q1,2,1.78816,270,50.5,A
2018-02-14 00:00:00,2018,Q1,3,1.34112,90,48.5,A
2018-02-23 00:00:00,2018,Q1,4,2.2352,270,42.2,A
2018-03-05 00:00:00,2018,Q1,5,1.78816,270,48.67,A
2018-05-21 00:00:00,2018,Q2,1,0.89408,270,59.7,A
2018-05-22 00:00:00,2018,Q2,2,1.78816,187.5,64.5,A
2018-05-23 00:00:00,2018,Q2,3,2.68224,157.5,63,A
2018-05-24 00:00:00,2018,Q2,4,1.34112,135,65,A
2018-05-31 00:00:00,2018,Q2,5,4.02336,315,58,C
2018-06-07 00:00:00,2018,Q2,6,2.68224,247.5,69.6,A
2018-09-06 00:00:00,2018,Q3,1,2.68224,202.5,68.5,A
2018-09-07 00:00:00,2018,Q3,2,2.2352,202.5,70.8,A
2018-09-10 00:00:00,2018,Q3,3,2.2352,202.5,71.5,A
2018-09-11 00:00:00,2018,Q3,4,2.68224,45,71.5,A
2018-09-12 00:00:00,2018,Q3,5,3.12928,22.5,63.5,C
2018-09-14 00:00:00,2018,Q3,6,1.78816,315,55.5,B
2018-09-24 00:00:00,2018,Q3,7,1.78816,112.5,72,A
2018-10-01 00:00:00,2018,Q3,8,1.78816,225,67.6,A
2018-12-10 00:00:00,2018,Q4,1,0.89408,180,50.5,A
2018-12-11 00:00:00,2018,Q4,2,1.34112,168.8,46.5,A
2018-12-12 00:00:00,2018,Q4,3,5.36448,337.5,45.3,C
2018-12-13 00:00:00,2018,Q4,4,1.78816,225,45.1,A
2018-12-20 00:00:00,2018,Q4,5,1.34112,337.5,48.33,A
2018-12-21 00:00:00,2018,Q4,6,1.78816,258.8,52.6,B
2018-12-28 00:00:00,2018,Q4,7,1.34112,337.5,43.8,A
2018-12-31 00:00:00,2018,Q4,8,10.72896,337.5,41.3,C
2019-03-04 00:00:00,2019,Q1,1,0.44704,112.5,49.8,B
